candidate_id,candidate_name,family,repo_location,branch_if_any,scientific_status,duplication_status,primary_source,backup_source,historical_start,historical_end,resolution,timestamp_quality,timezone_quality,raw_data_available,free_access,credentials_required,bulk_download,api_available,raw_preservation,hashable,revision_risk,survivorship_risk,lookahead_risk,source_mutation_risk,single_source_dependency,point_in_time_capability,discovery_oos_holdout_feasible,source_complexity,blocking_reason,status,smallest_authorized_next_step
"CROSSCHAIN-ATTENTION-REALLOCATION-001","Cross-chain activity reallocation","FLOW_LEADLAG","labs/CROSSCHAIN_ATTENTION_REALLOCATION_001","crosschain-attention-reallocation-v0.1","SOURCE_BLOCKED_V02","DISTINCT","Chain-native bounded sources","Solscan analytics route","frozen","2024-12-31","daily","MEDIUM","UTC","PARTIAL","PARTIAL","Solana source authorization needed","PARTIAL","YES","PARTIAL","YES","MEDIUM","MEDIUM","MEDIUM","HIGH","HIGH","PARTIAL","NO","HIGH","Required Solana lane returned unauthorized and all lanes are mandatory","SOURCE_BLOCKED","Wait for legitimate bounded Solana source"
"BTC-OPTIONS-VRP-001","Bitcoin options variance risk premium execution","VOL_CARRY","BTC options VRP branches","btc-options-vrp-execution-v0.1","DISCOVERY_PASS_EXECUTION_DATA_INSUFFICIENT","DISTINCT","Deribit public historical trades","Licensed BBO/quote archive","2021-01-01","2024-12-31","trade/quote","HIGH for trades; missing BBO","UTC","PARTIAL","PARTIAL","Premium BBO may be required","PARTIAL","YES","PARTIAL","YES","MEDIUM","LOW","MEDIUM","MEDIUM","HIGH","PARTIAL","NO executable sample gate","HIGH","Public prints do not provide enough direction-matched executable episodes","DATA_FRAGILE","Wait for authorized high-quality historical BBO export; no mark/mid substitution"
"BTC-DVOL-FUTURES-TERMSTRUCTURE-001","BTC DVOL futures term structure","VOL_RV","BTC DVOL futures branches","btc-dvol-futures-lifecycle-source-v0.2","LIFECYCLE_SOURCE_DATA_INSUFFICIENT","DISTINCT","Deribit public futures trades/instruments","Independent archived metadata","available contracts","2024-12-31","trade and lifecycle","HIGH for trades; incomplete metadata","UTC","YES","YES","NO","PARTIAL","YES","YES","YES","MEDIUM","HIGH delisting/lifecycle","MEDIUM","MEDIUM","HIGH","PARTIAL","NO","HIGH","Frozen metadata-integrity gate did not pass","DATA_FRAGILE","New prospective source-gate design only; do not waive integrity threshold"
"ETF-CREATION-FLOW-001","ETF shares creation flow","FLOW_EVENT","ETF creation branches","etf-creation-flow-source-recovery-v0.4","SOURCE_FEASIBILITY_BLOCKED","DISTINCT","Official ETF shares outstanding history","Issuer filings and archived pages","2024 inception","2024-12-31","daily","MEDIUM","US release clocks to UTC","PARTIAL","PARTIAL","Maybe","PARTIAL","PARTIAL","YES","YES","HIGH revisions","MEDIUM","MEDIUM","HIGH","HIGH","PARTIAL","NO","HIGH","Exact official point-in-time shares-outstanding corpus unavailable","SOURCE_BLOCKED","Wait for issuer-grade point-in-time export"
"CROSS-VENUE-PRICE-DISCOVERY-001","Cross-venue price discovery","LEADLAG","source-gate script branch","cross-venue-price-discovery-001-v01","SOURCE_GATE_PREPARED","ECONOMICALLY_EQUIVALENT","Public venue market data","Second venue archive","not frozen","not frozen","trade/bar","HIGH if synchronized","UTC","YES","YES","NO","PARTIAL","YES","YES","YES","LOW","LOW","MEDIUM","MEDIUM","MEDIUM","YES","NO_NEW_INFORMATION_SET","MEDIUM","Same venue timing question as prior lead-lag programs","DUPLICATE","Do not execute absent materially different causal state"
"COINBASE-BINANCE-LEADLAG-001","Coinbase to Binance lead-lag","LEADLAG","research/coinbase_binance_leadlag_001","coinbase-binance-leadlag-v0.1","DATA_FAILURE_NO_MARKET_VERDICT","ECONOMICALLY_EQUIVALENT","Coinbase and Binance public market data","Exchange APIs","frozen","frozen","minute/trade","MEDIUM","UTC","PARTIAL","YES","NO","PARTIAL","YES","YES","YES","LOW","LOW","MEDIUM","MEDIUM","HIGH","PARTIAL","NO_NEW_INFORMATION_SET","MEDIUM","Synchronized coverage failed and mechanism duplicates lead-lag family","DUPLICATE","Preserve data-failure semantics; do not clone"
"ARQ-001-DRF-001","Dominance regime follower","REGIME_TREND","research/ARQ001 files","arq001-dominance-regime-follower-v0.1","SOURCE_GATE_BLOCKED_MISSING_EXPORT","DISTINCT","Official TradingView BTC.D USDT.D TOTAL3 CSV exports","No substitution allowed","2022-01-01","2024-12-31","1 minute","PENDING","UTC required","NO","CONDITIONAL","User-authenticated export required","NO","NO","YES if supplied","YES","HIGH export mutability","MEDIUM","MEDIUM","HIGH","HIGH","PENDING","NO","MEDIUM","Three official exports absent and no public immutable archive route","SOURCE_BLOCKED","Wait for legitimate exact TradingView exports; do not synthesize dominance"
"PMD-001","Pumpfun migration direction","SUPPLY_ACCESS","protected research registry","pumpfun-migration-direction-source-rebuild-v0.2","PUBLIC_RPC_SOURCE_COVERAGE_GATE_INCOMPLETE","DISTINCT","Solana public RPC migration records","Archive provider","frozen population","2024-12-31","transaction/event","HIGH if decoded","UTC","PARTIAL","YES","NO","PARTIAL","YES","YES","YES","MEDIUM","HIGH","LOW","MEDIUM","HIGH","PARTIAL","NO frozen sample gate","HIGH","Exact source route failed frozen coverage minimum","SOURCE_BLOCKED","Only a materially different prospectively frozen source architecture"
"UTXO-DORMANCY-001","Bitcoin UTXO dormancy","FLOW_SUPPLY","branch-only candidate","utxo-dormancy-v0.1","SOURCE_NOT_DEMONSTRATED","DISTINCT","Bitcoin full node chainstate reconstruction","Public block archives or academic snapshot","genesis or frozen start","2024-12-31","block/daily","HIGH on chain","UTC","YES in principle","YES","NO if self-hosted","YES","API optional","YES","YES","LOW","LOW","LOW","LOW","LOW","YES in principle","POSSIBLE_AFTER_GATE","VERY_HIGH","No repository source gate proves reproducible historical UTXO state reconstruction","SOURCE_PROBE_REQUIRED","Freeze and run a bounded byte/hash/cost source feasibility probe"
"BTC-MVRV-VALUATION-001","Bitcoin MVRV valuation","FLOW_VALUATION","branch-only candidate","btc-mvrv-valuation-v0.1","SOURCE_NOT_DEMONSTRATED","NEAR_DUPLICATE","Point-in-time realized-cap provider or full-chain reconstruction","None proven","not frozen","2024-12-31","daily","MEDIUM","UTC","NO complete route","PARTIAL","Likely provider entitlement or full-node compute","PARTIAL","PARTIAL","PARTIAL","YES","HIGH metric revision","LOW","MEDIUM","HIGH","HIGH","PARTIAL","NO","VERY_HIGH","Critical realized-cap history is not bound to a free auditable source","SOURCE_BLOCKED","Require a source gate; no current-provider historical row substitution"
"ETH-DEMAND-FEE-FLOW-001","Ethereum fee and demand flow","FLOW","research/eth_demand_fee_flow_001","eth-demand-fee-flow-v0.2","REPLICATION_AND_ROBUSTNESS_CLOSED","DISTINCT","Ethereum chain fee/burn data","Public explorer/RPC","frozen","frozen","block/daily","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","LOW","LOW","LOW","LOW","YES","ALREADY_CONSUMED","MEDIUM","Canonical closeouts exist","SCIENTIFICALLY_CLOSED","Preserve closeouts"
"PERP-CROWDING-UNWIND-FAMILY","Perpetual crowding unwind","FLOW_MICRO","labs/PERP_CROWDING_UNWIND*","perp-crowding-unwind-crossasset-v0.1","DISCOVERY_AND_REPLICATION_CLOSED","DISTINCT","Binance USD-M public metrics/archives","None needed","frozen","frozen","funding/bar","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","MEDIUM","LOW","LOW","LOW","YES","ALREADY_CONSUMED","MEDIUM","Exact family closeouts exist","SCIENTIFICALLY_CLOSED","No asset or threshold rescue"
"MSEL-001","Memecoin structural edge","SUPPLY_ACCESS","protected research registry","memecoin-structural-edge-v0.1","PILOT_EXACT_PATH_CLOSED_BROADER_SOURCE_UNRESOLVED","DISTINCT","On-chain token lifecycle and metadata","Archive RPC/indexer","frozen","2024-12-31","transaction/event","HIGH if reconstructed","UTC","PARTIAL","PARTIAL","Maybe archive access","PARTIAL","YES","YES","YES","MEDIUM","CRITICAL token survivorship","MEDIUM","HIGH","HIGH","PARTIAL","NO","VERY_HIGH","Exact pilot closed; broader point-in-time source reconstruction unresolved","SOURCE_PROBE_REQUIRED","Only a materially different source mechanism with a new prospective freeze"
"SPOT-LISTING-ACCESS-SHOCK-001","Spot listing access shock","ACCESS_EVENT","branch-only candidate","spot-listing-access-shock-v0.1","SOURCE_NOT_YET_ADJUDICATED","NEAR_DUPLICATE","Official exchange announcements","Exchange market archives","not established","2024-12-31","event plus minute bars","MEDIUM","UTC normalized","PARTIAL","YES","NO","PARTIAL","PARTIAL","YES","YES","HIGH","HIGH","MEDIUM","HIGH","HIGH","PARTIAL","POSSIBLE_AFTER_GATE","HIGH","Announcement population and symbol identity not proven; overlap with launch programs","SOURCE_PROBE_REQUIRED","Run anti-duplication plus official event-manifest source gate before any freeze"
